id,input_query_name,accepted_scientific_name,wikidata_url,label_id,label_en,kingdom,phylum,kelas,ordo,family,genus,seed_source,seed_note
badak_sumatra,Dicerorhinus sumatrensis,Dicerorhinus sumatrensis,http://www.wikidata.org/entity/Q29220,badak sumatra,Sumatran rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
bekantan,Nasalis larvatus,Nasalis larvatus,http://www.wikidata.org/entity/Q192029,bekantan,Nasalis larvatus,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Nasalis,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
yaki,Macaca nigra,Macaca nigra,http://www.wikidata.org/entity/Q280590,monyet hitam sulawesi,Macaca nigra,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
tangkasi,Tarsius tarsier,Tarsius tarsier,http://www.wikidata.org/entity/Q859277,Tarsius tarsier,Spectral tarsier,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
anoa_dataran_rendah,Bubalus depressicornis,Bubalus depressicornis,http://www.wikidata.org/entity/Q317393,Bubalus depressicornis,Bubalus depressicornis,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
anoa_pegunungan,Bubalus quarlesi,Bubalus quarlesi,http://www.wikidata.org/entity/Q769957,anoa pegunungan,mountain anoa,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
babi_sulawesi,Sus celebensis,Sus celebensis,http://www.wikidata.org/entity/Q535406,Babi varu,Celebes warty pig,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
beruang_madu,Helarctos malayanus,Helarctos malayanus,http://www.wikidata.org/entity/Q144923,Beruang madu,Helarctos malayanus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Helarctos,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
macan_dahan_sunda,Neofelis diardi,Neofelis diardi,http://www.wikidata.org/entity/Q275163,Macan dahan Sunda,Sunda clouded leopard,Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kucing_kuwuk,Prionailurus bengalensis,Prionailurus bengalensis,http://www.wikidata.org/entity/Q42627,Kucing kuwuk,leopard cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ajag,Cuon alpinus,Cuon alpinus,http://www.wikidata.org/entity/Q132585,Ajak,dhole,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
rusa_timor,Rusa timorensis,Rusa timorensis,http://www.wikidata.org/entity/Q663412,Rusa Jawa,Javan rusa,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
rusa_bawean,Axis kuhlii,Axis kuhlii,http://www.wikidata.org/entity/Q221342,Rusa Bawean,Axis kuhlii,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hyelaphus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
banteng,Bos javanicus,Bos javanicus,http://www.wikidata.org/entity/Q183035,Banteng,Bos javanicus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
trenggiling,Manis javanica,Manis javanica,http://www.wikidata.org/entity/Q269728,Trenggiling biasa,Sunda pangolin,Animalia,Chordata,Mammalia,Pholidota,Manidae,Manis,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
binturong,Arctictis binturong,Arctictis binturong,http://www.wikidata.org/entity/Q213141,Binturung,binturong,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Arctictis,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kuskus_beruang_sulawesi,Ailurops ursinus,Ailurops ursinus,http://www.wikidata.org/entity/Q209755,kuskus beruang sulawesi,Ailurops ursinus,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Ailurops,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
